Timestamp,AgentName,CallType,Purpose,Description,Model,RunMode,UploadTokens,DownloadTokens,CostGBP
2026-07-15T16:02:21.333506+00:00,lab14104.labs.decoded.com,Claude API,Data analysis,,claude-sonnet-5,sequential,200,80,0.0009
2026-07-15T16:02:23.374719+00:00,lab14104.labs.decoded.com,Claude API,Data analysis,,claude-sonnet-5,sequential,200,80,0.0009
2026-07-15T16:02:23.385044+00:00,lab14104.labs.decoded.com,Claude API,Data analysis,,claude-sonnet-5,sequential,200,80,0.0009
2026-07-15T16:02:24.147203+00:00,lab14104.labs.decoded.com,Claude API,Data analysis,,claude-sonnet-5,sequential,200,80,0.0009
2026-07-15T16:02:24.153235+00:00,lab14104.labs.decoded.com,Claude API,Data analysis,,claude-sonnet-5,sequential,200,80,0.0009
2026-07-15T16:02:24.861893+00:00,lab14104.labs.decoded.com,Claude API,Data analysis,,claude-sonnet-5,sequential,200,80,0.0009
2026-07-15T16:02:24.864791+00:00,lab14104.labs.decoded.com,Claude API,Data analysis,,claude-sonnet-5,sequential,200,80,0.0009
2026-07-15T16:02:25.615101+00:00,lab14104.labs.decoded.com,Claude API,Data analysis,,claude-sonnet-5,sequential,200,80,0.0009
2026-07-15T16:02:25.631178+00:00,lab14104.labs.decoded.com,Claude API,Data analysis,,claude-sonnet-5,sequential,100,40,0.0005
2026-07-15T16:02:26.393849+00:00,lab14104.labs.decoded.com,Claude API,Data analysis,,claude-sonnet-5,sequential,200,80,0.0009
2026-07-15T16:02:26.402882+00:00,lab14104.labs.decoded.com,Claude API,Data analysis,,claude-sonnet-5,sequential,200,80,0.0009
2026-07-15T16:02:27.141887+00:00,lab14104.labs.decoded.com,Claude API,Data analysis,,claude-sonnet-5,sequential,200,80,0.0009
2026-07-15T16:02:27.147668+00:00,lab14104.labs.decoded.com,Claude API,Data analysis,,claude-sonnet-5,sequential,200,80,0.0009
2026-07-15T16:02:28.200518+00:00,lab14104.labs.decoded.com,Claude API,Data analysis,,claude-sonnet-5,sequential,100,40,0.0005
2026-07-15T16:02:30.460941+00:00,lab14104.labs.decoded.com,Claude API,Data analysis,,claude-sonnet-5,sequential,150,60,0.0007
2026-07-15T16:02:36.747274+00:00,lab14104.labs.decoded.com,Claude API,Data analysis,,claude-sonnet-5,sequential,0,0,0.0
2026-07-15T16:02:37.793044+00:00,lab14104.labs.decoded.com,Claude API,Data analysis,,claude-sonnet-5,sequential,480,160,0.002
2026-07-15T16:02:38.816197+00:00,lab14104.labs.decoded.com,Claude API,Data analysis,,claude-sonnet-5,sequential,400000,200000,2.212
2026-07-15T16:02:39.910494+00:00,lab14104.labs.decoded.com,Claude API,Data analysis,,claude-sonnet-5,sequential,150,60,0.0007
2026-07-15T16:04:27.394709+00:00,lab14104.labs.decoded.com,Claude API,Data analysis,,claude-sonnet-5,sequential,200,80,0.0009
2026-07-15T16:04:28.933047+00:00,lab14104.labs.decoded.com,Claude API,Data analysis,,claude-sonnet-5,sequential,200,80,0.0009
2026-07-15T16:04:28.933286+00:00,lab14104.labs.decoded.com,Claude API,Data analysis,,claude-sonnet-5,sequential,200,80,0.0009
2026-07-15T16:04:29.714528+00:00,lab14104.labs.decoded.com,Claude API,Data analysis,,claude-sonnet-5,sequential,200,80,0.0009
2026-07-15T16:04:29.729586+00:00,lab14104.labs.decoded.com,Claude API,Data analysis,,claude-sonnet-5,sequential,200,80,0.0009
2026-07-15T16:04:30.460723+00:00,lab14104.labs.decoded.com,Claude API,Data analysis,,claude-sonnet-5,sequential,200,80,0.0009
2026-07-15T16:04:30.478212+00:00,lab14104.labs.decoded.com,Claude API,Data analysis,,claude-sonnet-5,sequential,150,60,0.0007
