id,respondent_type,response_text
1,individual,"I support digital identity in principle but I am deeply worried about my elderly mother who has never used a smartphone. If proving who you are goes digital-only, people like her will be locked out of services they have used all their lives."
2,business,"As a small lettings agency we spend roughly six hours a week on right-to-rent checks. A single reusable digital identity would cut our admin costs significantly. We would welcome this if the verification standard is accepted across government."
3,individual,"Absolutely not. The government has no business building a database of everyone's identity. We rejected ID cards in 2010 and this is the same thing with an app icon."
4,charity,"Our service users include rough sleepers and people fleeing domestic abuse. Many have no fixed address, no passport, and no bank account. Any digital identity scheme must include a robust non-digital route or it will deepen exclusion for the people we support."
5,academic,"The proposal conflates identification and authentication in several places. International evidence (Estonia, Aadhaar) shows the governance model matters more than the technology. I would urge the department to publish the trust framework before any procurement begins."
6,individual,"Sounds convenient honestly. I already use my banking app to prove my age. As long as it is optional I do not see the problem."
7,local authority,"We process around 40,000 identity verifications a year across housing, blue badge, and electoral services. Fragmented paper-based checks are costly and error-prone. We support a common standard but need clarity on funding for local integration."
8,individual,"What happens when the system goes down? I was at the airport during the last big IT outage. If my entire legal identity lives on a server in some data centre I want to know what the fallback is."
9,business,"We operate age-restricted online sales. Current age verification providers charge per check and accuracy varies wildly. A government-backed attribute service (over-18 yes/no, nothing more) would be genuinely useful and privacy-preserving."
10,individual,"I have a visual impairment and most government apps I have tried are poorly tested with screen readers. Accessibility must be a hard requirement, not a nice-to-have, and tested with real assistive technology users before launch."
11,charity,"Age Concern branch responding. Around 30% of our members do not use the internet at all. We are not against digital identity but the consultation barely mentions assisted digital provision. Who helps a 90-year-old enrol?"
12,academic,"The security section is thin. Centralised identity systems create high-value attack targets. The document should commit to decentralised or at least federated architecture, with selective disclosure so users reveal only the attribute needed."
13,individual,"My concern is scope creep. It starts with proving your age to buy a drill and ends with needing the app to see a GP. The legislation must contain explicit purpose limitations."
14,business,"Recruitment agency here. Right-to-work checks are our single biggest compliance burden. Digital identity verification during the pandemic worked well and we were disappointed when it was scaled back. Bring it back and make it permanent."
15,individual,"No strong view on the technology but please do not make another app. My phone already has three government apps that all need separate logins. One front door please."
16,local authority,"Rural county perspective: 12% of our residents have no reliable broadband and mobile coverage is patchy. Digital identity that assumes constant connectivity will not work here. Offline verification methods are essential."
17,individual,"As someone who transitioned five years ago, identity systems that expose previous names or gender markers cause real harm. Selective disclosure and the ability to update records cleanly must be designed in from day one."
18,academic,"Broadly supportive. The economic modelling underestimates fraud reduction benefits — our research suggests identity fraud costs UK businesses over £4bn annually and a certified reusable identity could reduce onboarding fraud by 30-40%."
19,individual,"I run a village shop. Half my customers pay cash and would not know a digital wallet from a hole in the ground. Whatever you build, keep the analogue option or you will cut off half the countryside."
20,charity,"Refugee support organisation. Newly arrived people often have no UK footprint and thin documentation. The scheme needs clear enrolment routes for people without passports or driving licences, otherwise it entrenches a two-tier system."
21,individual,"Strongly support. I have lived in Denmark and MitID makes everything easier — taxes, healthcare, banking. The UK is years behind and this hesitancy costs everyone time and money."
22,business,"Fintech perspective: we already consume identity via open banking and commercial providers. The government scheme should be interoperable with existing certified providers rather than replacing them. Do not nationalise a functioning market."
23,individual,"Who is liable when it goes wrong? If someone impersonates me through this system and empties my account, does the government compensate me? The consultation is silent on redress and that worries me more than the technology."
24,local authority,"Electoral services team. Voter ID rollout showed how quickly identity requirements can disenfranchise people who lack documents. Any digital identity must be free of charge to the citizen, including the non-digital alternative."
25,individual,"This is a solution looking for a problem. I prove my identity maybe twice a year. The money would be better spent on fixing GP appointment systems."
26,academic,"The consultation does not address algorithmic bias in biometric verification. Facial recognition error rates are demonstrably higher for darker-skinned users. Certification should require published accuracy figures disaggregated by demographic group."
27,business,"Construction sector. CSCS card fraud is rampant on sites. A verifiable digital credential for qualifications and right-to-work would improve site safety and cut agency fraud. Support, with the caveat that site connectivity is often poor."
28,individual,"Privacy conditions: no central register, no unique persistent identifier shared across services, and criminal penalties for misuse by officials. If those three are met I would use it."
29,charity,"Disability rights organisation. We cautiously welcome the proposals but the phrase 'digital by default' appears eight times and 'assisted digital' once. That ratio tells you where the thinking is."
30,individual,"Just make sure it works at the Post Office. That is where everyone in my town goes when the council website defeats them."
31,business,"Hospitality group operating 200 venues. Manual age checks create friction and staff face abuse when refusing sales. Digital age verification with a simple yes/no attribute would protect staff and customers. We support certification of private wallet providers."
32,individual,"I work in cybersecurity. The trust framework must mandate phishing-resistant authentication (passkeys, not SMS codes) and the enrolment process is the weakest link — document how you stop fraudulent enrolment before anything else."
33,academic,"Comparative governance point: Estonia succeeded because of legal clarity and citizen control over data access logs. Citizens can see every official who viewed their record. Include a mandatory access transparency log or trust will not follow."
34,individual,"My identity was stolen in 2023 and it took two years to untangle. Anything that reduces the number of times I have to email scans of my passport to strangers is welcome. But the recovery process when things go wrong must be a first-class feature."
35,local authority,"Trading standards view: we need enforcement powers and resourcing to police fake identity apps and non-certified providers. The consultation proposes certification but says nothing about enforcement against the uncertified."
36,individual,"Neutral overall. The benefits case reads as written for businesses, not citizens. What is in it for me, concretely, on an ordinary Tuesday?"
37,charity,"Citizens advice bureau. A third of the people we help with government services struggle with online forms due to language barriers. Multi-language support and interpreter-friendly enrolment need budget lines, not warm words."
38,business,"Legal services firm. Client due diligence under AML regulations is duplicated across every firm a client instructs. A reusable verified identity would eliminate enormous duplication. The Law Society's digital ID pilot showed strong results — build on it."
39,individual,"I foster teenagers. Proving parental responsibility and their identities for school, GP, and travel is a paperwork nightmare with no consistent process. If digital identity handles delegated authority and complex family situations well, it will be genuinely useful. Most systems do not."
40,academic,"Recommend the department commission an independent equality impact assessment before final design, publish the DPIA, and commit to primary legislation rather than regulating via framework documents. Trust is built through scrutiny, not assurances."
